#,Name,Capacity,Arrival time min,Arrival time max,Service time,Address,New Arrival time min,New Arrival time max
28,Delivery #234840 to MEATHAUS(MEATHAUS) ref #143543,110,13:09,13:09,5,"Shop 16/42 Stockton Ave, Moorebank NSW 2170, Australia",13:19,13:19
29,Delivery #234851 to WHOLEFARMS PTY LTD(WHOLEFARMS PTY LTD) ref #143522,120,13:20,13:20,5,"479 Henry Lawson Dr, Milperra NSW 2214, Australia",13:31,13:31
30,Delivery #234939 to CHICKEY HAMPSHIRE(CHICKEY HAMPSHIRE),9,13:48,13:48,5,"36 Anderson St, Alexandria NSW 2015, Australia",14:01,14:01
31,Delivery #234945 to CAFE GIULIA FBU(CAFE GIULIA FBU),22,13:56,13:56,5,"92 Abercrombie St, Chippendale NSW 2008, Australia",14:12,14:12
32,Delivery #234994 to JAMES MILSON VILLAGE(JAMES MILSON VILLAGE),32,14:09,14:09,5,"James Milson Village, 4 Clark Rd, North Sydney NSW 2060, Australia",14:28,14:28
33,Delivery #234999 to EIGHTY ATE CAFE(EIGHTY ATE CAFE),6,14:17,14:17,5,"88 West St, North Sydney NSW 2060, Australia",14:38,14:38
34,Delivery #234860 to BUNGAREE BUTCHERS(BUNGAREE BUTCHERS) ref #143573,48,14:52,14:52,5,"22 Bungaree Rd, Toongabbie NSW 2146, Australia",15:12,15:12
35,Delivery #227660 to BUNGAREE BUTCHERS(BUNGAREE BUTCHERS) ref #143573,48,14:57,14:57,0,"22 Bungaree Rd, Toongabbie NSW 2146, Australia",15:12,15:12
36,"Whalan NSW 2770, Australia",,15:18,15:18,0,"Whalan NSW 2770, Australia",15:41,15:41
1,Start at depot ,0,7:00,7:00,0,"22 George Young St, Regents Park NSW 2143, Australia",7:00,7:00
2,Delivery #234990 to WEST RYDE HOTEL(WEST RYDE HOTEL),28,7:17,7:17,5,"West Ryde Hotel, 1021 Victoria Rd, West Ryde NSW 2114, Australia",7:22,7:22
3,Delivery #234916 to S AND Y MEAT TRADING PTY LTD(S AND Y MEAT TRADING PTY LTD) ref #143457,201,7:27,7:27,5,"3/12 Hillview Rd, Eastwood NSW 2122, Australia",7:31,7:31
4,Delivery #234987 to LEISURE LEA GARDENS(LEISURE LEA GARDENS),22,7:39,7:39,5,"Leisure Lea Gardens, 201-207 Epping Rd, Marsfield NSW 2122, Australia",7:43,7:43
5,Delivery #234911 to CAMPBELLS SUPERIOR MEATS PTY LTD(CAMPBELLS SUPERIOR MEATS PTY LTD) ref #143525,45,7:52,7:52,5,"Kendall St, West Pymble NSW 2073, Australia",7:57,7:57
6,Delivery #234998 to MX MONA VALE FBU(MX MONA VALE FBU),14,8:22,8:22,5,"Shop 4/1 Waratah St, Mona Vale NSW 2104, Australia",8:27,8:27
7,Delivery #234995 to MEXICANO FBU(MEXICANO FBU),200,8:33,8:33,5,"209 Ocean St, Narrabeen NSW 2101, Australia",8:39,8:39
